               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.052172,            0.040431,             0.01149,             0.51475,             0.30915,             0.23915,              0.1052,             0.04829,            0.029549,            0.010655,            0.001266,            0.001266,            0.001266
                  91,            0.052031,            0.040982,            0.011539,             0.51902,             0.30418,              0.2392,             0.10551,            0.048155,            0.029524,            0.010654,           0.0012202,           0.0012202,           0.0012202
                  92,            0.051763,            0.040489,            0.011461,             0.51935,             0.30518,             0.23924,             0.10556,            0.048019,            0.029499,            0.010654,           0.0011787,           0.0011787,           0.0011787
                  93,            0.051516,             0.04063,            0.011646,             0.51973,              0.3035,             0.23928,              0.1057,            0.047896,            0.029474,            0.010654,           0.0011414,           0.0011414,           0.0011414
                  94,            0.051099,            0.040399,            0.011544,             0.51804,             0.30592,             0.23918,             0.10591,            0.047774,            0.029451,            0.010654,           0.0011084,           0.0011084,           0.0011084
                  95,            0.051047,             0.04084,            0.011565,             0.51878,             0.30457,             0.23932,             0.10603,             0.04766,            0.029426,            0.010653,           0.0010797,           0.0010797,           0.0010797
                  96,            0.050881,            0.040574,            0.011561,             0.52001,             0.30363,             0.23933,             0.10615,            0.047549,            0.029403,            0.010653,           0.0010554,           0.0010554,           0.0010554
                  97,            0.050718,            0.040723,            0.011531,             0.52168,             0.30233,              0.2393,             0.10632,            0.047445,            0.029381,            0.010652,           0.0010355,           0.0010355,           0.0010355
                  98,            0.050848,             0.04047,            0.011596,             0.52136,             0.30267,              0.2393,             0.10652,             0.04735,            0.029358,            0.010652,             0.00102,             0.00102,             0.00102
                  99,             0.05052,            0.040462,            0.011504,             0.52112,             0.30283,             0.23899,             0.10654,            0.047257,             0.02934,            0.010652,           0.0010089,           0.0010089,           0.0010089
